original_title,release_date,genres,keywords,actors,director
Raiders of the Lost Ark,1981-06-12,"['Adventure', 'Action']","['egypt', 'treasure', 'medallion', 'swastika', 'saving the world', 'nepal', 'himalaya mountain range', 'cairo', 'moses', 'hat', 'whip', 'leather jacket', 'mediterranean', 'ark of the covenant', 'ten commandments', 'nazi', 'excavation', 'riddle', 'treasure hunt', 'archaeologist', 'adventurer', 'archeology', 'religious history', '1930s', 'dramatic', 'excited']","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies', 'Ronald Lacey', 'Wolf Kahler', 'Anthony Higgins', 'Denholm Elliott', 'Alfred Molina', 'Vic Tablian']",George Lucas
Donnie Darko,2001-01-19,"['Fantasy', 'Drama', 'Mystery']","['high school', 'airplane', 'parent child relationship', 'presidential election', 'therapist', 'school performance', 'halloween', 'time travel', 'vandalism', 'surrealism', 'loss', 'imaginary friend', 'suburbia', 'arson', 'vision', 'school', 'mental illness', 'virginia', 'sleepwalking', '1980s', 'parallel universe']","['Jake Gyllenhaal', 'Jena Malone', 'James Duval', 'Drew Barrymore', 'Beth Grant', 'Maggie Gyllenhaal', 'Mary McDonnell', 'Holmes Osborne', 'Noah Wyle', 'Katharine Ross']",Eli Roth
Pacific Rim,2013-07-11,"['Action', 'Science Fiction', 'Adventure']","['monster', 'dystopia', 'giant monster', 'pacific', 'alaska', 'giant robot', 'apocalypse', 'hong kong', 'robot', 'alien invasion', 'kaiju', 'duringcreditsstinger', 'monster movie']","['Charlie Hunnam', 'Rinko Kikuchi', 'Idris Elba', 'Max Martini', 'Clifton Collins Jr.', 'Ron Perlman', 'Charlie Day', 'Burn Gorman', 'Robert Kazinsky', 'Robert Maillet']",Guillermo del Toro
Me Before You,2016-06-01,"['Drama', 'Romance']","['depression', 'small town', 'based on novel or book', 'england', 'artist', 'wheelchair', 'romance', 'love', 'caretaker', 'caregiver', 'disabled', ""valentine's day"", 'twenty something', 'woman director', 'accident', 'sentimental', 'melodramatic']","['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance', 'Brendan Coyle', 'Jenna Coleman', 'Matthew Lewis', 'Samantha Spiro', 'Stephen Peacocke', 'Vanessa Kirby']",Thea Sharrock
1917,2019-12-25,"['War', 'History', 'Thriller', 'Drama']","['race against time', 'world war i', 'british army', 'soldier', 'trenches', '1910s', 'trench warfare', ""no man's land""]","['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch', 'Daniel Mays', 'Adrian Scarborough']",Joey Coughlin
Moana,2016-10-13,"['Adventure', 'Comedy', 'Family', 'Animation']","['sailboat', 'sea', 'island', 'saving the world', 'ocean', 'cartoon', 'mythology', 'villain', 'musical', 'curse', 'sailor', 'aftercreditsstinger', 'demigod', 'polynesia', 'voyage', 'curious', 'pacific  ocean', 'quest', 'island life', 'animal sidekick', 'hopeful']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison', 'Jemaine Clement', 'Nicole Scherzinger', 'Alan Tudyk', 'Louise Bush', 'Oscar Kightley', 'Troy Polamalu']",Don Hall
Knives Out,2019-11-27,"['Comedy', 'Crime', 'Mystery']","['immigrant', 'detective', 'massachusetts', 'investigation', 'big family', 'mansion', 'whodunit', 'family home', 'murder mystery', 'neo-noir', 'privilege']","['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'LaKeith Stanfield', 'Christopher Plummer', 'Katherine Langford']",Toshadeva Palani
Good Will Hunting,1997-12-05,['Drama'],"['boston, massachusetts', 'professor', 'baseball', 'mathematics', 'genius', 'harvard university', 'male friendship', 'ambition', 'flashback', 'love', 'friends', 'psychologist', 'janitor', 'university', 'courtroom', 'prodigy', 'math genius', 'inspirational', 'intimate']","['Matt Damon', 'Robin Williams', 'Ben Affleck', 'Stellan Skarsgård', 'Minnie Driver', 'Casey Affleck', 'Cole Hauser', 'Vik Sahay', 'Rachel Majorowski', 'Colleen McCauley']",Gus Van Sant
Ted,2012-06-29,"['Comedy', 'Fantasy']","['friendship', 'dream', 'love', 'buddy', 'teddy bear', 'toy comes to life', 'wishes come true']","['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane', 'Joel McHale', 'Giovanni Ribisi', 'Patrick Warburton', 'Matt Walsh', 'Jessica Barth', 'Aedin Mincks', 'Bill Smitrovich']",Eric Heffron
Wreck-It Ralph,2012-11-01,"['Family', 'Animation', 'Comedy', 'Adventure']","['video game', 'support group', 'villain', 'bullying', 'medal', 'product placement', 'jail', 'racing', 'arcade', 'self esteem', 'curiosity', 'precocious child', 'aftercreditsstinger', 'duringcreditsstinger', 'first person shooter', 'glitch', 'carefree', 'interrupted wedding', 'social reject', 'escape from jail', 'hoverboard']","['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Alan Tudyk', 'Jane Lynch', 'Raymond S. Persi', 'Mindy Kaling', 'Jamie Elman', 'Adam Carolla', 'Horatio Sanz']",Rick Moore
Shrek 2,2004-05-19,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure', 'Romance']","['prison', 'princess', 'magic', 'kingdom', 'fairy tale', 'liberation', 'transformation', 'honeymoon', 'prince', 'villain', 'parents-in-law', 'enchantment', 'sequel', 'anthropomorphism', 'dragon', 'ogre', 'fairy godmother', 'cartoon donkey']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews', 'Antonio Banderas', 'John Cleese', 'Rupert Everett', 'Jennifer Saunders', 'Cody Cameron', 'Conrad Vernon']",Kelly Asbury
Taxi Driver,1976-02-09,"['Crime', 'Drama']","['drug dealer', 'vietnam veteran', 'new york city', 'taxi', 'pornography', 'obsession', 'taxi driver', 'pimp', 'firearm', 'politician', 'alienation', 'junk food', 'misanthrophy', 'vigilante', 'illegal prostitution', 'character study', 'loner', 'manhattan, new york city', 'neo-noir', 'child prostitution', 'new hollywood', 'drives']","['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Harvey Keitel', 'Peter Boyle', 'Leonard Harris', 'Albert Brooks', 'Diahnne Abbott', 'Frank Adu', 'Victor Argo']",William Eustace
Zombieland,2009-10-02,"['Comedy', 'Horror']","['washington dc, usa', 'sibling relationship', 'circus', 'post-apocalyptic future', 'blood splatter', 'gore', 'parody', 'road trip', 'zombie', 'survival horror', 'amusement park', 'twinkie', 'body count', 'zombification', 'disposing of a dead body', 'loner', 'aftercreditsstinger', 'zombie apocalypse', 'fear of clowns', 'absurd', 'actor playing themself', 'dramatic', 'enthusiastic', 'foreboding', 'frightened', 'sarcastic']","['Jesse Eisenberg', 'Woody Harrelson', 'Emma Stone', 'Abigail Breslin', 'Amber Heard', 'Bill Murray', 'Elle Alexander', 'Melanie Booth', 'Chris Burns', 'Sydnie Dawson']",Ruben Fleischer
The Great Gatsby,2013-05-09,"['Drama', 'Romance']","['infidelity', 'based on novel or book', 'obsession', 'hope', 'long island, new york', '1920s', 'voiceover', 'tragic']","['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Elizabeth Debicki', 'Isla Fisher', 'Jason Clarke', 'Amitabh Bachchan', 'Callan McAuliffe', 'Adelaide Clemens']",Baz Luhrmann
Prometheus,2012-05-30,"['Science Fiction', 'Adventure', 'Mystery']","['android', 'alien', 'space', 'creature', 'spin off', 'creation', 'emergency surgery', 'stasis', 'archeological dig', 'god complex', 'cave drawing', 'prometheus', 'genetic mutation', 'origins of life', '2090s']","['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron', 'Idris Elba', 'Guy Pearce', 'Logan Marshall-Green', 'Sean Harris', 'Rafe Spall', 'Emun Elliott', 'Benedict Wong']",Ridley Scott
The Shape of Water,2017-12-01,"['Drama', 'Fantasy', 'Romance']","['government', 'fairy tale', 'cold war', 'supernatural', 'baltimore, usa', 'laboratory', 'orphan', 'bathtub', 'scientist', 'magic realism', 'capture', 'sign languages', '1960s', 'fishman', 'amphibious creature', 'dramatic', 'romantic', 'compassionate']","['Sally Hawkins', 'Michael Shannon', 'Richard Jenkins', 'Octavia Spencer', 'Michael Stuhlbarg', 'Doug Jones', 'David Hewlett', 'Nick Searcy', 'Stewart Arnott', 'Nigel Bennett']",Guillermo del Toro
Call Me by Your Name,2017-07-28,"['Romance', 'Drama']","['based on novel or book', 'upper class', 'italy', 'swimming pool', 'coming of age', 'love', 'breaking the fourth wall', 'summer', 'teenage boy', 'masturbation', 'first love', 'lgbt', 'jewish family', '1980s', 'peach', 'gay theme']","['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar', 'Esther Garrel', 'Victoire du Bois', 'Vanda Capriolo', 'Antonio Rimoldi', 'Elena Bucci', 'Marco Sgrosso']",Luca Guadagnino
The Social Network,2010-10-01,['Drama'],"['hacker', 'based on novel or book', 'boston, massachusetts', 'ex-girlfriend', 'harvard university', 'narcissism', 'based on true story', 'hacking', 'historical fiction', 'twins', 'double cross', 'creator', 'frat party', 'social network', 'deposition', 'intellectual property', 'entrepreneur', 'arrogance', 'social media', 'young entrepreneur', 'facebook', 'legal drama']","['Jesse Eisenberg', 'Andrew Garfield', 'Armie Hammer', 'Justin Timberlake', 'Max Minghella', 'Josh Pence', 'Brenda Song', 'Rashida Jones', 'John Getz', 'David Selby']",David Fincher
Finding Dory,2016-06-16,"['Adventure', 'Animation', 'Comedy', 'Family']","['fish', 'amnesia', 'octopus', 'sequel', 'anthropomorphism', 'underwater', 'aftercreditsstinger', 'clownfish']","['Albert Brooks', 'Ellen DeGeneres', ""Ed O'Neill"", 'Hayden Rolence', 'Diane Keaton', 'Eugene Levy', 'Ty Burrell', 'Kaitlin Olson', 'Idris Elba', 'Dominic West']",Erick Oh
American Beauty,1999-09-15,['Drama'],"['estate agent', 'adultery', 'coming out', 'first time', 'virgin', 'cheating', 'parent child relationship', 'age difference', 'midlife crisis', 'cheerleader', 'dark comedy', 'rose', 'satire', 'dysfunctional family', 'suburbia', 'coming of age', 'sexual fantasy', 'dysfunctional marriage', 'marijuana', 'loneliness', 'love affair', 'exercise', 'extramarital affair', 'realtor', 'quitting a job', 'voyeur', 'neighborhood', 'retired army man', 'closeted homosexual', 'singing in a car', 'gay theme', 'existential', 'teenager', 'camcorder']","['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Peter Gallagher', 'Allison Janney', 'Chris Cooper', 'Scott Bakula', 'Sam Robards']",Sam Mendes
The Devil Wears Prada,2006-06-29,"['Drama', 'Comedy']","['new york city', 'journalist', 'paris, france', 'based on novel or book', 'journalism', 'fashion journal', 'assistant', 'job entrant', 'job interview', 'editor-in-chief', 'fashion', 'fashion magazine', 'bullied', 'city life', 'fashion industry']","['Meryl Streep', 'Anne Hathaway', 'Emily Blunt', 'Stanley Tucci', 'Simon Baker', 'Adrian Grenier', 'Tracie Thoms', 'Rich Sommer', 'Daniel Sunjata', 'David Marshall Grant']",David Frankel
No Country for Old Men,2007-06-13,"['Crime', 'Drama', 'Thriller']","['vietnam veteran', 'sheriff', 'trailer park', 'based on novel or book', 'hitman', 'psychopath', 'drug trafficking', 'texas', 'motel', 'usa–mexico border', 'drug cartel', 'fate', 'desert', 'modern-day western', 'neo-western', 'tracking device', 'cold blooded killer', 'motel room', 'aggressive', 'cartel', 'neo-noir', '1980s', 'mexican cartel', 'drug deal', 'coin toss', 'human nature', 'captive bolt gun', 'western noir', 'horror western', 'faithful adaptation', 'intense', 'cruel', 'foreboding']","['Javier Bardem', 'Tommy Lee Jones', 'Josh Brolin', 'Woody Harrelson', 'Kelly Macdonald', 'Garret Dillahunt', 'Tess Harper', 'Barry Corbin', 'Stephen Root', 'Rodger Boyce']",Joel Coen
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,"['Adventure', 'Action', 'Fantasy']","['sea', 'ship', 'treasure map', 'sequel', 'artifact', 'pirate', 'period drama', 'monkey', 'swashbuckler', 'ghost', 'caribbean sea', 'trident']","['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites', 'Kaya Scodelario', 'Kevin McNally', 'Golshifteh Farahani', 'David Wenham', 'Stephen Graham', 'Angus Barnett']",Espen Sandberg
Silver Linings Playbook,2012-11-16,"['Drama', 'Comedy', 'Romance']","['depression', 'infidelity', 'dancing', 'friendship', 'philadelphia, pennsylvania', 'based on novel or book', 'widow', 'letter', 'neighbor', 'mental illness', 'ex-wife', 'institutionalization', 'death of husband', 'bipolar', 'restraining order', 'father son relationship', 'male mental health']","['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver', 'Chris Tucker', 'Anupam Kher', 'John Ortiz', 'Shea Whigham', 'Julia Stiles', 'Paul Herman']",David O. Russell
2012,2009-10-10,"['Action', 'Adventure', 'Science Fiction']","['race against time', 'maya civilization', 'civilization', 'natural disaster', 'earthquake', 'end of the world', 'disaster', 'apocalypse', 'destruction', 'volcanic eruption', 'flood', 'disaster movie', 'ark', 'solar', 'anxious', '2010s', 'cautionary', 'dramatic']","['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor', 'Thandiwe Newton', 'Oliver Platt', 'Tom McCarthy', 'Woody Harrelson', 'Danny Glover', 'Liam James', 'Morgan Lily']",Roland Emmerich
Fury,2014-10-15,"['War', 'Drama', 'Action']","['hero', 'nazi', 'ambush', 'bravery', 'world war ii', 'heroism', 'tank', 'europe', 'execution', 'battle', 'brutality', 'hatred', 'tank battle', '1940s', 'enclosed space', 'beating the odds', 'european theatre', 'tanks']","['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman', 'Michael Peña', 'Jon Bernthal', 'Jim Parrack', 'Brad William Henke', 'Kevin Vance', 'Xavier Samuel', 'Jason Isaacs']",David Ayer
Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']","['dying and death', 'loss of loved one', 'alien life-form', 'resurrection', 'dysfunctional family', 'sequel', 'alien planet', 'distant future', 'adopted child', 'rebirth', 'family dynamics', 'adopted son', 'stronger villain', 'war', 'furious']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco', 'Jemaine Clement']",James Cameron
Rise of the Planet of the Apes,2011-08-03,"['Thriller', 'Action', 'Drama', 'Science Fiction']","['san francisco, california', 'solidarity', 'gorilla', 'intelligence', 'dystopia', 'zoo', ""alzheimer's disease"", 'death of father', 'cage', 'anthropomorphism', 'golden gate bridge', 'disease', 'ape', 'orangutan', 'chimpanzee', 'medical research', 'primate', 'sign languages', 'virus', 'animal testing', 'contagion', 'father son relationship', 'animal human friendship', 'cgi-live action hybrid', 'violence against animals', 'meddling neighbor', 'medical trials', 'amused', 'exhilarated']","['Andy Serkis', 'James Franco', 'Freida Pinto', 'John Lithgow', 'Brian Cox', 'Tom Felton', 'Tyler Labine', 'Karin Konoval', 'Terry Notary', 'Christopher Gordon']",Rupert Wyatt
Scarface,1983-12-09,"['Action', 'Crime', 'Drama']","['corruption', 'sibling relationship', 'miami, florida', 'cuba', 'loss of loved one', 'gangster', 'cocaine', 'rise and fall', 'remake', 'drug cartel', 'mafia', 'drug lord', 'bitterness', 'rise to power', 'miami beach', 'cuban refugees', 'drug war', 'frightened', 'inflammatory']","['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia', 'Miriam Colon', 'F. Murray Abraham', 'Paul Shenar', 'Harris Yulin', 'Ángel Salazar']",Brian De Palma
Jurassic World: Fallen Kingdom,2018-06-06,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['tyrannosaurus rex', 'volcano', 'rescue mission', 'sequel', 'wild animal', 'prehistoric creature', 'dinosaur', 'genetic engineering', 'aftercreditsstinger', 'monster island']","['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Toby Jones', 'Ted Levine', 'Jeff Goldblum', 'BD Wong']",Colin Trevorrow
Fifty Shades of Grey,2015-02-11,"['Drama', 'Romance', 'Thriller']","['bad smell', 'based on novel or book', 'eroticism', 'perversion', 'spanking', 'billionaire', 'rich', 'bdsm', 'woman director', 'baffled']","['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford', 'Victor Rasuk', 'Luke Grimes', 'Marcia Gay Harden', 'Rita Ora', 'Max Martini', 'Callum Keith Rennie']",Sam Taylor-Johnson
Prisoners,2013-09-19,"['Drama', 'Thriller', 'Crime']","['pennsylvania, usa', 'kidnapping', 'hostage', 'detective', 'maze', 'symbolism', 'investigation', 'georgia', 'beating', 'god', 'revenge', 'vigilante', 'rural area', 'crime scene', 'brutality', 'candlelight vigil', 'animal cruelty', 'neo-noir', 'sex offender', 'child abduction']","['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Maria Bello', 'Terrence Howard', 'Melissa Leo', 'Paul Dano', 'Dylan Minnette', 'Zoë Soul', 'Erin Gerasimovich']",Denis Villeneuve
The Incredible Hulk,2008-06-12,"['Science Fiction', 'Action', 'Adventure']","['new york city', 'rio de janeiro', 'superhero', 'based on comic', 'fugitive', 'on the run', 'super soldier', 'scientist', 'virginia', 'military', 'super villain', 'marvel cinematic universe (mcu)', 'angry', 'radical transformation', 'good versus evil']","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt', 'Tim Blake Nelson', 'Ty Burrell', 'Christina Cabot', 'Peter Mensah', 'Lou Ferrigno', 'Paul Soles']",Tim Singh
"I, Robot",2004-07-15,"['Action', 'Science Fiction']","['chicago, illinois', 'future', 'man vs machine', 'hero', 'artificial intelligence (a.i.)', 'based on novel or book', 'grandparent grandchild relationship', 'homicide', 'detective', 'dystopia', 'hologram', 'murder', 'robot as menace', 'car accident', 'robot', 'grandmother', 'humanity', 'robotics', 'humanoid robot', 'talking robot', 'self-driving car', 'homicide investigation', '2030s', 'robot companion', 'old robot', 'new robot', 'forceful']","['Will Smith', 'Bridget Moynahan', 'Alan Tudyk', 'James Cromwell', 'Bruce Greenwood', 'Shia LaBeouf', 'Chi McBride', 'Jerry Wasserman', 'Peter Shinkoda', 'Terry Chen']",Alex Proyas
The Sixth Sense,1999-08-06,"['Mystery', 'Thriller', 'Drama']","['dying and death', 'child abuse', 'philadelphia, pennsylvania', 'sense of guilt', 'afterlife', 'marriage crisis', 'loss of loved one', 'confidence', 'psychology', 'paranormal phenomena', 'single', 'psychological thriller', 'cowardliness', 'single mother', 'school play', 'ghost', 'child', 'spiritism', 'ghost child']","['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams', 'Trevor Morgan', 'Donnie Wahlberg', 'Peter Anthony Tambakis', 'Jeffrey Zubernis', 'Bruce Norris', 'Glenn Fitzgerald']",M. Night Shyamalan
A Star Is Born,2018-10-03,"['Music', 'Drama', 'Romance']","['concert', 'country music', 'waitress', 'pop star', 'self-destruction', 'talent', 'addiction', 'death of father', 'alcoholism', 'remake', 'aspiring singer', 'singer', 'fame', 'tinnitus', 'falling in love', 'insecurity', 'alcoholic', 'death of mother', 'aspiration', 'death of parent', 'showbiz', 'emotional vulnerability', 'hearing impaired', 'brother brother relationship']","['Lady Gaga', 'Bradley Cooper', 'Sam Elliott', 'Andrew Dice Clay', 'Rafi Gavron', 'Anthony Ramos', 'Dave Chappelle', 'Alec Baldwin', 'Marlon Williams', 'Brandi Carlile']",Lyn Matsuda Norton
Kick-Ass,2010-03-26,"['Action', 'Crime']","['hero', 'secret identity', 'crime fighter', 'superhero', 'dark comedy', 'comic book', 'based on comic', 'murder', 'mafia', 'family', 'realism', 'mist', 'adventurer', 'rookie', 'young heroes', 'young adult', 'criminal heroes', 'heroes', 'pretending to be gay']","['Aaron Taylor-Johnson', 'Chloë Grace Moretz', 'Nicolas Cage', 'Lyndsy Fonseca', 'Mark Strong', 'Deborah Twiss', 'Christopher Mintz-Plasse', 'Elizabeth McGovern', 'Omari Hardwick', 'Xander Berkeley']",Matthew Vaughn
Green Book,2018-11-16,"['Drama', 'History']","['friendship', 'southern usa', 'road trip', 'racism', 'pianist', 'driver', 'lgbt', 'road movie', 'music tour', '1960s', 'roadtrip', 'gay theme', 'feel good']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco', 'Dimiter D. Marinov', 'P.J. Byrne', 'Mike Hatton', 'Joe Cortese', 'Maggie Nixon', 'Von Lewis']",Alan Breton
Kung Fu Panda,2008-06-04,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']","['martial arts', 'kung fu', 'strong woman', 'china', 'tiger', 'bravery', 'restaurant', 'villain', 'shop', 'panda', 'sensei', 'anthropomorphism', 'fighting', 'master', 'destiny', 'crane', 'aftercreditsstinger', 'wuxia', 'monkey warrior', 'philosophical', 'viper', 'inspirational', 'lighthearted']","['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Ian McShane', 'Jackie Chan', 'Lucy Liu', 'Seth Rogen', 'David Cross', 'Randall Duk Kim', 'James Hong']",Mark Osborne
Ocean's Eleven,2001-12-07,"['Thriller', 'Crime']","['prison', 'casino', 'pickpocket', 'strip club', 'heist', 'con artist', 'thief', 'caper', 'atlantic city', 'salt lake city, utah', 'las vegas', 'card dealer', 'explosives expert']","['George Clooney', 'Matt Damon', 'Andy García', 'Brad Pitt', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Elliott Gould', 'Eddie Jemison', 'Bernie Mac']",Steven Soderbergh
American History X,1998-07-01,['Drama'],"['prison', 'neo-nazism', 'rape', 'skinhead', 'sibling relationship', 'swastika', 'brother', 'fascism', 'jail', 'school', 'los angeles, california', 'family', 'xenophobia', 'interracial friendship', 'nazism']","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien', 'Ethan Suplee', 'Fairuza Balk', 'Avery Brooks', 'Elliott Gould', 'Stacy Keach', 'William Russ']",Tony Kaye
The Conjuring,2013-07-18,"['Horror', 'Thriller']","['sibling relationship', '1970s', 'cellar', 'exorcism', 'haunted house', 'possession', 'satanism', 'rhode island', 'based on true story', 'paranormal investigation', 'crucifix', 'ghost', 'demonic', 'demonology', 'psychic vision', 'the conjuring universe']","['Patrick Wilson', 'Vera Farmiga', 'Lili Taylor', 'Ron Livingston', 'Mackenzie Foy', 'Joey King', 'Shannon Kook', 'John Brotherton', 'Hayley McFarland', 'Shanley Caswell']",Albert Cho
Le Fabuleux Destin d'Amélie Poulain,2001-04-25,"['Comedy', 'Romance']","['daughter', 'paris, france', 'love triangle', 'photography', 'ghost train', 'sex shop', 'shyness', 'journey around the world', 'postcard', 'romantic comedy', 'hypochondriac', 'romance', 'cafe', 'kindness', 'magic realism', ""child's point of view"", 'montmartre, paris', 'neighbor neighbor relationship', 'father daughter relationship', 'happy ending', 'childhood memory', 'whimsical', 'cheerful']","['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta', 'Serge Merlin', 'Jamel Debbouze', 'Clotilde Mollet', 'Claire Maurier', 'Isabelle Nanty', 'Dominique Pinon']",Jean-Pierre Jeunet
The Notebook,2004-06-25,"['Romance', 'Drama']","['secret love', 'based on novel or book', ""love of one's life"", 'fight', 'poem', 'river', 'sadness', 'class', 'dementia', 'melancholy', 'tears', 'candle', 'mailbox', ""valentine's day"", 'romantic']","['Ryan Gosling', 'Rachel McAdams', 'Gena Rowlands', 'James Garner', 'Joan Allen', 'David Thornton', 'James Marsden', 'Kevin Connolly', 'Sam Shepard', 'Starletta DuPois']",Melinda Taksen
2001: A Space Odyssey,1968-04-02,"['Science Fiction', 'Mystery', 'Adventure']","['man vs machine', 'moon', 'jupiter', 'artificial intelligence (a.i.)', 'based on novel or book', 'technology', 'super computer', 'space travel', 'space mission', 'moon base', 'astronaut', 'evolution', 'monolith', 'space station', 'space opera', '2000s', 'ai rebellion']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller']",Stanley Kubrick
Tangled,2010-11-24,"['Animation', 'Family']","['princess', 'magic', 'hostage', 'fairy tale', 'horse', 'villain', 'musical', 'blonde', 'tower', 'selfishness', 'healing power', 'adventurer', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick', 'magic land']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman', 'Brad Garrett', 'Richard Kiel', 'M.C. Gainey', 'Jeffrey Tambor', 'Paul F. Tompkins', 'Delaney Rose Stein']",Rick Moore
Dawn of the Planet of the Apes,2014-07-08,"['Science Fiction', 'Action', 'Drama', 'Thriller']","['san francisco, california', 'peace', 'solidarity', 'gorilla', 'intelligence', 'dystopia', 'horse', 'post-apocalyptic future', 'pacifism', 'animal attack', 'leader', 'colony', 'tank', 'forest', 'sequel', 'woods', 'anthropomorphism', 'dam', 'revenge', 'betrayal', 'golden gate bridge', 'explosion', 'ape', 'scientist', 'orangutan', 'death', 'chimpanzee', 'medical research', 'primate', 'dead horse', 'allegorical', 'sign languages', 'virus', 'plague', 'assassination attempt', 'shocking', 'aggressive', 'murder by gunshot', 'contagion', 'guns', 'soldiers', '2030s', 'animal human friendship', 'war', 'cgi-live action hybrid', 'violence against animals', 'war horse', 'intense', 'depressing', 'bitter', 'bold', 'powerful', 'horse riding']","['Andy Serkis', 'Jason Clarke', 'Toby Kebbell', 'Gary Oldman', 'Keri Russell', 'Kodi Smit-McPhee', 'Nick Thurston', 'Karin Konoval', 'Terry Notary', 'Doc Shaw']",Jessica Kivnik
君の名は。,2016-08-26,"['Animation', 'Romance', 'Drama']","['race against time', 'afterlife', 'natural disaster', 'supernatural', 'time travel', 'comet', 'romance', 'tragedy', 'school', 'body-swap', 'nonlinear timeline', 'star crossed lovers', 'anime', 'dreams', 'sentimental', 'romantic', 'compassionate']","['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yuki', 'Nobunaga Shimazaki', 'Kaito Ishikawa', 'Kanon Tani', 'Masaki Terasoma', 'Sayaka Ohara', 'Kazuhiko Inoue']",Makoto Shinkai
In Time,2011-10-27,"['Action', 'Thriller', 'Science Fiction']","['future', 'race against time', 'immortality', 'bank', 'dystopia', 'time', 'love', 'on the run', 'class differences', 'biting', 'cops and robbers\xa0', 'aggressive', 'rich vs poor', 'in time', 'antagonistic', 'defiant', 'urgent']","['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Olivia Wilde', 'Alex Pettyfer', 'Johnny Galecki', 'Matt Bomer', 'Vincent Kartheiser', 'Yaya DaCosta', 'Toby Hemingway']",Wilma Garscadden-Gahret
Cast Away,2000-12-22,"['Adventure', 'Drama']","['exotic island', 'suicide attempt', 'volleyball', 'survival', 'loneliness', 'airplane crash', 'deserted island', 'tropical island']","['Tom Hanks', 'Helen Hunt', 'Chris Noth', 'Paul Sanchez', 'Lari White', 'Leonid Citer', 'David Allen Brooks', 'Semion Sudarikov', 'Peter Von Berg', 'Dmitri S. Boudrine']",Robert Zemeckis
X-Men,2000-07-13,"['Adventure', 'Action', 'Science Fiction']","['superhero', 'mutant', 'based on comic', 'superhuman']","['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Famke Janssen', 'James Marsden', 'Halle Berry', 'Anna Paquin', 'Tyler Mane', 'Ray Park', 'Rebecca Romijn']",Aric Dupere
